title,price,rating,availability,category
A Light in the Attic,51.77,3,In stock,Poetry
Tipping the Velvet,53.74,1,In stock,Historical Fiction
Soumission,50.1,1,In stock,Fiction
Sharp Objects,47.82,4,In stock,Mystery
Sapiens: A Brief History of Humankind,54.23,5,In stock,History
The Requiem Red,22.65,1,In stock,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,Default
The Black Maria,52.15,1,In stock,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,Default
Shakespeare's Sonnets,20.66,4,In stock,Poetry
Set Me Free,17.46,5,In stock,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,Sequential Art
Rip it Up and Start Again,35.02,5,In stock,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,Music
Olio,23.88,1,In stock,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,Science Fiction
Libertarianism for Beginners,51.33,2,In stock,Politics
It's Only the Himalayas,45.17,2,In stock,Travel
In Her Wake,12.84,1,In stock,Thriller
How Music Works,37.32,2,In stock,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,Food and Drink
Chase Me (Paris Nights #2),25.27,5,In stock,Romance
Black Dust,34.53,5,In stock,Romance
Birdsong: A Story in Pictures,54.64,3,In stock,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,Default
Aladdin and His Wonderful Lamp,53.13,3,In stock,Default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock,Nonfiction
Wall and Piece,44.18,4,In stock,Art
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,Nonfiction
The Elephant Tree,23.82,5,In stock,Thriller
The Bear and the Piano,36.89,1,In stock,Childrens
Sophie's World,15.94,5,In stock,Philosophy
Penny Maybe,33.29,3,In stock,Default
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,Default
"In a Dark, Dark Wood",19.63,1,In stock,Mystery
Behind Closed Doors,52.22,4,In stock,Thriller
You can't bury them all: Poems,33.63,2,In stock,Poetry
Slow States of Collapse: Poems,57.31,3,In stock,Poetry
Reasons to Stay Alive,26.41,2,In stock,Nonfiction
Private Paris (Private #10),47.61,5,In stock,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,Nonfiction
Without Borders (Wanderlove #1),45.07,2,In stock,New Adult
When We Collided,31.77,1,In stock,Contemporary
"We Love You, Charlie Freeman",50.27,5,In stock,Fiction
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,Nonfiction
Unicorn Tracks,18.78,3,In stock,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,Nonfiction
This One Summer,19.49,4,In stock,Sequential Art
Thirst,17.27,5,In stock,Fiction
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,Add a comment
The Secret of Dreadwillow Carse,56.13,1,In stock,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,Food and Drink
The Past Never Ends,56.5,4,In stock,Mystery
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,Young Adult
The Nameless City (The Nameless City #1),38.16,4,In stock,Sequential Art
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,Nonfiction
The Death of Humanity: and the Case for Life,58.11,4,In stock,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,Health
The Art Forger,40.76,3,In stock,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,Nonfiction
Soul Reader,39.58,2,In stock,Default
Security,39.25,2,In stock,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,Fantasy
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,History
Patience,10.16,3,In stock,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,Self Help
On a Midnight Clear,14.07,3,In stock,Add a comment
Obsidian (Lux #1),14.86,2,In stock,Young Adult
My Paris Kitchen: Recipes and Stories,33.37,2,In stock,Food and Drink
Masks and Shadows,56.4,2,In stock,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,Add a comment
Join,35.67,5,In stock,Science Fiction
In the Country We Love: My Family Divided,22.0,4,In stock,Nonfiction
